Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Portugal,PRT,"International tourism, number of arrivals",ST.INT.ARVL,12097000,12167000,11644000,11707000,10639000,10612000,11282000,6788000,6962000,6439000,6756000,7264000,7503000,9177000,10497000,11723000,13359000,15432000,16186000,17283000,4208000
Portugal,PRT,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..,..,..,..,..,..,..,..,..,1361000,1490000,1502000,1893000,1941000,2195000,2486000,3100000,680000
France,FRA,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..,190282000,185829000,193882000,193319000,193571000,192369000,189826000,196595000,197522000,204410000,206599000,203302000,203042000,207274000,211998000,217877000,117109000
France,FRA,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..,..,..,27107000,33144000,30960000,30646000,29973000,31153000,29642000,30457000,31941000,30608000,29636000,44265000,48069000,49276000,21287000
United States,USA,"International tourism, number of arrivals",ST.INT.ARVL,78343000,70975000,64434000,62082000,67606000,71484000,183178000,175299000,175703000,160508000,162275000,147271421.875,171629890.625,179309906.25,178311359.375,176864531.25,175261484.375,174291750,169324921.875,165478000,45037000
United States,USA,"International tourism, number of departures",ST.INT.DPRT,87973000,84755000,80883000,75880000,79655000,79215000,148511000,140364000,136148000,129954000,121574000,114089000,116329000,118968000,121699000,130364000,141526000,148045000,158445406.25,170930093.75,60549898.4375
Japan,JPN,"International tourism, number of arrivals",ST.INT.ARVL,4757000,4772000,5239000,5212000,6138000,6728000,7334000,8347000,8351000,6790000,8611000,6219000,8358000,10364000,13413000,19737000,24039000,28691000,31191000,31881000,4115799.8046875
Japan,JPN,"International tourism, number of departures",ST.INT.DPRT,17819000,16216000,16523000,13296000,16831000,17404000,17535000,17295000,15987000,15446000,16637000,16994000,18491000,17473000,16903000,16214000,17116000,17889000,18954000,20081000,3174000
Germany,DEU,"International tourism, number of arrivals",ST.INT.ARVL,18983000,17861000,17969000,18399000,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,30411000,31545000,32999000,34970000,35555000,37452000,38881000,39563000,12449000
Germany,DEU,"International tourism, number of departures",ST.INT.DPRT,80507000,81551000,80393000,85345000,84859000,86622000,81801000,82099000,86201000,85547000,85872000,84692000,82729000,87459000,83008000,83737000,90966000,92402000,108542000,99533000,..
