Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Portugal,PRT,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,6029000000,6264000000,6643000000,7687000000,8902000000,9038000000,10487000000,12945000000,14081000000,12357000000,12984000000,14911000000,14578000000,16080000000,17577000000,16007000000,17347000000,21586000000,24366000000,24592000000,10522000000
France,FRA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,38706000000,37826000000,41113000000,46576000000,53068000000,52126000000,54615000000,63890000000,68034000000,58906000000,56178000000,66133000000,63975000000,66054000000,67402000000,66441000000,63557000000,67717000000,72518000000,70776000000,35958000000
United States,USA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,118316000000,105454000000,97415000000,94814000000,107210000000,116682000000,121030000000,134800000000,149094000000,137111000000,161821000000,178935000000,195113000000,213105000000,222746000000,230574000000,228549000000,233758000000,241984000000,239447000000,84205000000
United Kingdom,GBR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,27000000000,25800000000,28000000000,31000000000,34000000000,38000000000,42000000000,46000000000,48000000000,44000000000,45000000000,50000000000,49000000000,52000000000,55000000000,50000000000,51000000000,56000000000,58000000000,57000000000,22000000000
Japan,JPN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,5970000000,5750000000,6069000000,11475000000,14343000000,15554000000,11490000000,12422000000,13781000000,12537000000,15356000000,12533000000,16197000000,16865000000,20790000000,27285000000,33456000000,36978000000,45276000000,49209000000,11395000000
Germany,DEU,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,24943000000,24182000000,26717000000,30129000000,36417000000,40518000000,45560000000,49320000000,53402000000,47499000000,49116000000,53465000000,51626000000,55486000000,58721000000,50669000000,52234000000,55750000000,59446000000,58372000000,24395000000
Turkiye,TUR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..,..,..,..,..,20760000000,19137000000,21662000000,26446000000,26331000000,26318000000,30302000000,31566000000,37984000000,40028000000,35648000000,26505000000,31993000000,36791000000,41415000000,13771000000
Mexico,MEX,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,9133000000,9190000000,9547000000,10058000000,11609000000,12801000000,13329000000,14055000000,14726000000,12542000000,12628000000,12458000000,13320000000,14311000000,16606000000,18729000000,20619000000,22467000000,23802000000,25847000000,11449000000
Thailand,THA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,9935000000,9378000000,10388000000,10456000000,13054000000,12103000000,16624000000,20625000000,22510000000,19811000000,23796000000,30924000000,34565000000,41765000000,38451000000,44851000000,48459000000,57057000000,61383000000,64371000000,15360000000
Australia,AUS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,11594000000,11333000000,12148000000,14981000000,18032000000,19719000000,20408000000,25024000000,27189000000,26909000000,31064000000,34315000000,34137000000,32889000000,35736000000,36249000000,39059000000,43975000000,47327000000,47953000000,26234000000
Italy,ITA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,28712000000,26924000000,28213000000,32623000000,37893000000,38364000000,41666000000,46134000000,..,..,..,..,..,..,..,41415000000,42423000000,46719000000,51602000000,51910000000,20459000000
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,
