mese;Regioni di residenza;Strutture;Valori
Gennaio;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;259
Febbraio;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;274
Marzo;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;223
Aprile;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;206
Maggio;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;192
Giugno;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;203
Luglio;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;158
Agosto;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;73
Settembre;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;206
Ottobre;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;289
Novembre;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;294
Dicembre;PIEMONTE;Alberghi 5 stelle e 5stelle lusso;319
Gennaio;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;12
Febbraio;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;5
Marzo;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;3
Aprile;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;7
Maggio;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;4
Giugno;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;3
Luglio;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;1
Agosto;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso; -   
Settembre;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;7
Ottobre;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;3
Novembre;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;4
Dicembre;VALLE D'AOSTA;Alberghi 5 stelle e 5stelle lusso;7
Gennaio;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;4485
Febbraio;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;4396
Marzo;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;4370
Aprile;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;4884
Maggio;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;4526
Giugno;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;3832
Luglio;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;3951
Agosto;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;2631
Settembre;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;3911
Ottobre;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;4976
Novembre;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;4814
Dicembre;LOMBARDIA;Alberghi 5 stelle e 5stelle lusso;4580
Gennaio;VENETO;Alberghi 5 stelle e 5stelle lusso;328
Febbraio;VENETO;Alberghi 5 stelle e 5stelle lusso;319
Marzo;VENETO;Alberghi 5 stelle e 5stelle lusso;309
Aprile;VENETO;Alberghi 5 stelle e 5stelle lusso;346
Maggio;VENETO;Alberghi 5 stelle e 5stelle lusso;311
Giugno;VENETO;Alberghi 5 stelle e 5stelle lusso;296
Luglio;VENETO;Alberghi 5 stelle e 5stelle lusso;207
Agosto;VENETO;Alberghi 5 stelle e 5stelle lusso;101
Settembre;VENETO;Alberghi 5 stelle e 5stelle lusso;240
Ottobre;VENETO;Alberghi 5 stelle e 5stelle lusso;367
