AFGHANISTAN;33.7680065;66.2385139;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ALBANIA;41.000028;19.9999619;..;..;..;1.303;1.694;2.616;3.716;3.443;3.959;4.146;4.852;5.415;2.907;5.882
ALGERIA;28.0000272;2.9999825;874;879;1.006;1.257;1.417;1.349;1.539;1.757;1.911;2.839;4.530;5.610;1.386;2.865
AMERICAN SAMOA;-14.297124;-170.7131481;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ANDORRA;42.5407167;1.5732033;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ANGOLA;-11.8775768;17.5691241;3;..;..;..;..;..;..;..;..;..;..;..;..;..
ANGUILLA;18.1954947;-63.0750234;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ANTIGUA AND BARBUDA;17.2234721;-61.9554608;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ARGENTINA;-34.9964963;-64.9672817;4.436;4.533;5.425;6.083;8.295;10.022;18.645;18.411;4.087;7.891
ARMENIA;40.7696272;44.6736646;..;..;111;131;221;329;516;563;965;1.198;1.263;1.623;346;1.139
ARUBA;12.51756625;-69.98186415210564;;;;;;;;;;;;;;
AUSTRALIA;-24.7761086;134.755;2.732;3.161;3.498;3.461;4.369;4.941;5.808;7.103;8.212;9.480;10.390;11.403;2.832;5.226
AUSTRIA;47.59397;14.12456;..;..;7.528;8.266;8.371;10.042;9.677;9.882;10.960;10.994;11.534;11.043;3.964;11.871
AZERBAIJAN;40.3936294;47.7872508;432;1.146;1.326;1.141;1.473;1.836;2.162;3.176;3.874;4.244;4.282;4.908;1.165;1.490
BAHAMAS;24.7736546;-78.0000547;;;;;;;;;;;;;;
BAHRAIN;26.0667;50.5577;..;..;..;..;..;..;3.293;2.868;752;..
BANGLADESH;24.4769288;90.2934413;911;992;1.128;1.158;1.565;1.819;875;1.913;2.273;..;..;..;..;..
BARBADOS;13.1500331;-59.5250305;;;;;;;;;;;;;;
BELARUS;53.4250605;27.6971358;4.747;6.160;6.924;6.811;6.323;7.464;8.427;7.246;8.340;9.326;2.810;3.869
BELGIUM;50.6402809;4.6667145;5.645;7.776;7.932;6.773;8.783;7.852;8.887;8.801;9.576;10.991;13.372;15.627;7.108;16.005
BELIZE;17.1204943;-88.6859028;;;;;;;;;;;;;;
BENIN;9.5293472;2.2584408;;;;;;;;;;;;;;
BERMUDA;32.3040273;-64.7563086;..;..;..;145;156;170;192;..;..;..;..;..;..;..
BHUTAN;27.549511;90.5119273;269;299;201;217;346;472;544;604;788;932;940;1.060;432;821
BONAIRE;12.1684798;-68.24703234151355;;;;;;;;;;;;;;
